Attributes,Coefficient
inhibkills,1.222574921144685
pentakills,0.5207298432928436
turretkills,0.5196754079856284
quadrakills,0.3998674192227809
champlvl,0.2824991006024449
deaths,0.2772191110143493
KDA,0.1698267754937555
seasonid,0.1449383818287168
largestmultikill,0.13632218197179324
assists,0.11473630920236297
triplekills,0.09363467404978054
firstblood,0.06770569673254107
totunitshealed,0.04964963256774932
killingsprees,0.04780830446646612
doublekills,0.029009532829072184
pinksbought,0.026399840185463916
enemyjunglekills,0.020213148022315025
largestkillingspree,0.018709763095346502
kills,0.01658049122094486
ownjunglekills,0.01085133690373259
player,0.009850118635163751
wardsplaced,0.009822362637156384
wardskilled,0.0066766679307624435
totminionskilled,0.005719627449796595
visionscore,0.005693738183402193
duration,0.0016950050741019712
longesttimespentliving,0.0014775522208734923
neutralminionskilled,0.001059809021454531
goldearned,0.0003709107864229955
trinket,0.0002567132581882263
largestcrit,0.00018164567396263575
championid,0.00013953625487275636
dmgtoturrets,0.00013686359607665915
dmgtoobj,5.5534361118126207e-05
goldspent,4.6927296986775104e-05
truedmgtaken,4.410270635372108e-05
truedmgtochamp,4.125335854435241e-05
totcctimedealt,2.9611675809315784e-05
magicdmgtaken,2.4086955860803235e-05
physdmgtaken,1.91639704076456e-05
totdmgtaken,1.2610830231691502e-05
dmgselfmit,1.0427184355309314e-05
totdmgtochamp,1.0321510368457296e-05
physdmgtochamp,7.114024808763295e-06
magicdmgtochamp,5.344175581854643e-06
totdmgdealt,2.7581627342943514e-06
physicaldmgdealt,2.63580112323108e-06
totheal,1.0443993922921353e-06
truedmgdealt,1.0237659053191287e-06
magicdmgdealt,9.499997382279454e-07
matchid,1.2843630836498288e-07
id,1.2740183590248473e-08
timecc,0.0
legendarykills,0.0
