Attributes,Coefficient
KDA,0.2013684849151964
dmgtoturrets,0.07179886326225612
turretkills,0.05830032575035261
deaths,0.05498010549842056
inhibkills,0.04577735830028171
assists,0.03788195491187154
goldearned,0.029551676983520205
dmgtoobj,0.028695184171309923
duration,0.02122304121433289
longesttimespentliving,0.020182263351058764
largestkillingspree,0.019127796316142816
totdmgtaken,0.018809414821339677
id,0.01731475782877405
magicdmgtaken,0.01724318138672863
goldspent,0.016944190604714533
totminionskilled,0.016431460642667806
physdmgtaken,0.0158417457988252
truedmgtaken,0.014987680810393594
enemyjunglekills,0.014481903883063559
kills,0.013614931947355866
totdmgdealt,0.013536957803009002
physicaldmgdealt,0.012944815247966293
dmgselfmit,0.01281827480952523
totcctimedealt,0.012618311430757095
totheal,0.012584436640495317
totdmgtochamp,0.01244072298029872
physdmgtochamp,0.012405081232231918
wardsplaced,0.012303428158567867
matchid,0.012172149707528142
truedmgdealt,0.011717511423575138
magicdmgtochamp,0.011242716461959679
magicdmgdealt,0.011225403893480633
championid,0.01100083798405609
truedmgtochamp,0.01099635547682184
visionscore,0.009699002934230415
champlvl,0.009635959057732178
player,0.009009422481762591
ownjunglekills,0.008926483771227806
neutralminionskilled,0.008781818816252267
killingsprees,0.007864799298431216
wardskilled,0.007548432900859675
totunitshealed,0.006989909824915738
largestcrit,0.00645026262810751
pinksbought,0.005764652856879091
doublekills,0.004040203768970659
largestmultikill,0.0035042957579859654
trinket,0.002848505214553276
seasonid,0.0017904065328679393
firstblood,0.0012588837865754043
triplekills,0.0011110465582680376
quadrakills,0.00020531183105981893
pentakills,7.2763304408251545e-06
timecc,0.0
legendarykills,0.0
