Attributes,Coefficient
KDA,0.15000933
inhibkills,0.13585709
turretkills,0.058940094
dmgtoturrets,0.03977393
dmgtoobj,0.022314845
longesttimespentliving,0.021803215
totdmgtochamp,0.01847098
dmgselfmit,0.018205859
goldspent,0.017789874
duration,0.017357042
champlvl,0.017092075
doublekills,0.016475571
enemyjunglekills,0.016248167
goldearned,0.016088126
totunitshealed,0.016074937
totdmgdealt,0.015910832
totdmgtaken,0.015703205
physicaldmgdealt,0.015663764
physdmgtaken,0.015292324
totminionskilled,0.015269519
visionscore,0.01523254
assists,0.01436051
physdmgtochamp,0.014226425
largestkillingspree,0.014130792
kills,0.01400936
wardsplaced,0.013313309
largestcrit,0.013279943
truedmgtaken,0.013035501
wardskilled,0.012674837
deaths,0.012651411
largestmultikill,0.012614038
totheal,0.012298582
neutralminionskilled,0.012109522
truedmgtochamp,0.011943756
truedmgdealt,0.011904776
magicdmgtaken,0.011903181
totcctimedealt,0.011680686
magicdmgtochamp,0.01167719
pinksbought,0.011498764
ownjunglekills,0.011304603
killingsprees,0.011249394
magicdmgdealt,0.011030944
championid,0.010912342
seasonid,0.010727681
trinket,0.010640409
player,0.010617776
id,0.010186285
firstblood,0.008444559
legendarykills,0.0
timecc,0.0
triplekills,0.0
matchid,0.0
quadrakills,0.0
pentakills,0.0
